[Epoch 0] lr=[{'lr_backbone': 2e-05}, {'lr_points': 2e-05}, {'lr_query_updater': 0.0002}, {'lr': 0.0002}] 
[Epoch=0, Iter=1200/6512] loss = 3.1362 (4.0372); frame0_box_l1_loss = 0.0119 (0.0147); frame0_box_giou_loss = 0.1350 (0.1476); frame0_label_focal_loss = 0.0309 (0.0802); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0129 (0.0171); frame1_box_giou_loss = 0.1408 (0.1595); frame1_label_focal_loss = 0.0328 (0.0711); frame1_bio_motion_loss = 0.0006 (0.0014); 
[Epoch=0, Iter=1300/6512] loss = 3.0748 (3.9633); frame0_box_l1_loss = 0.0122 (0.0145); frame0_box_giou_loss = 0.1285 (0.1461); frame0_label_focal_loss = 0.0342 (0.0766); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0123 (0.0167); frame1_box_giou_loss = 0.1319 (0.1573); frame1_label_focal_loss = 0.0353 (0.0683); frame1_bio_motion_loss = 0.0004 (0.0013); 
[Epoch=0, Iter=1400/6512] loss = 3.2098 (3.9095); frame0_box_l1_loss = 0.0119 (0.0143); frame0_box_giou_loss = 0.1384 (0.1456); frame0_label_focal_loss = 0.0339 (0.0736); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0142 (0.0165); frame1_box_giou_loss = 0.1491 (0.1568); frame1_label_focal_loss = 0.0345 (0.0659); frame1_bio_motion_loss = 0.0010 (0.0013); 
[Epoch=0, Iter=1500/6512] loss = 3.2321 (3.8643); frame0_box_l1_loss = 0.0131 (0.0143); frame0_box_giou_loss = 0.1363 (0.1450); frame0_label_focal_loss = 0.0367 (0.0711); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0150 (0.0164); frame1_box_giou_loss = 0.1406 (0.1557); frame1_label_focal_loss = 0.0432 (0.0644); frame1_bio_motion_loss = 0.0009 (0.0012); 
[Epoch=0, Iter=1600/6512] loss = 3.0652 (3.8144); frame0_box_l1_loss = 0.0121 (0.0141); frame0_box_giou_loss = 0.1333 (0.1442); frame0_label_focal_loss = 0.0286 (0.0685); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0132 (0.0162); frame1_box_giou_loss = 0.1389 (0.1546); frame1_label_focal_loss = 0.0349 (0.0626); frame1_bio_motion_loss = 0.0006 (0.0012); 
[Epoch=0, Iter=1700/6512] loss = 3.0198 (3.7677); frame0_box_l1_loss = 0.0127 (0.0140); frame0_box_giou_loss = 0.1302 (0.1434); frame0_label_focal_loss = 0.0263 (0.0660); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0140 (0.0161); frame1_box_giou_loss = 0.1357 (0.1535); frame1_label_focal_loss = 0.0333 (0.0609); frame1_bio_motion_loss = 0.0007 (0.0012); 
[Epoch=0, Iter=1800/6512] loss = 3.0659 (3.7287); frame0_box_l1_loss = 0.0130 (0.0140); frame0_box_giou_loss = 0.1307 (0.1427); frame0_label_focal_loss = 0.0315 (0.0641); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0134 (0.0159); frame1_box_giou_loss = 0.1346 (0.1525); frame1_label_focal_loss = 0.0358 (0.0595); frame1_bio_motion_loss = 0.0007 (0.0011); 
[Epoch=0, Iter=1900/6512] loss = 2.8742 (3.6838); frame0_box_l1_loss = 0.0120 (0.0139); frame0_box_giou_loss = 0.1312 (0.1421); frame0_label_focal_loss = 0.0276 (0.0622); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0122 (0.0157); frame1_box_giou_loss = 0.1294 (0.1513); frame1_label_focal_loss = 0.0257 (0.0577); frame1_bio_motion_loss = 0.0005 (0.0011); 
[Epoch=0, Iter=2000/6512] loss = 3.1809 (3.6587); frame0_box_l1_loss = 0.0149 (0.0139); frame0_box_giou_loss = 0.1366 (0.1418); frame0_label_focal_loss = 0.0311 (0.0606); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0163 (0.0158); frame1_box_giou_loss = 0.1398 (0.1507); frame1_label_focal_loss = 0.0369 (0.0566); frame1_bio_motion_loss = 0.0009 (0.0011); 
[Epoch=0, Iter=2100/6512] loss = 2.9919 (3.6269); frame0_box_l1_loss = 0.0116 (0.0138); frame0_box_giou_loss = 0.1312 (0.1413); frame0_label_focal_loss = 0.0280 (0.0591); frame0_bio_motion_loss = 0.0000 (0.0000); frame1_box_l1_loss = 0.0133 (0.0156); frame1_box_giou_loss = 0.1425 (0.1503); frame1_label_focal_loss = 0.0320 (0.0555); frame1_bio_motion_loss = 0.0005 (0.0011); 
